442	C V V N E N N D M R F	C A S G D E N T G E L F F	YLQPRTFLL
207	C A L S E S M E Y G N K L V F	C A S T R G A E G G S Y N S P L H F	TTDPSFLGRY
174	C G T Q S S N D Y K L S F	C A S R T A G N E Q Y F	TTDPSFLGRY
353	C A A S V I W G S S A S K I I F	C A S S Y S S R R V Y T G E L F F	TTDPSFLGRY
491	C V V N N N N D M R F	C A S N E E N T G E L F F	YLQPRTFLL
335	C A R G G A T N K L I F	C S A R I L A G D T G E L F F	TTDPSFLGRY
21	C A V R D W D Q F Y F	C A S R G G V G A N N E Q F F	LTDEMIAQY
121	C A V K D Y G G S Q G N L I F	C A S S Q D L G S N Q P Q H F	LTDEMIAQY
42	C A S A G G G N K L T F	C A S R E G R A Y N E Q F F	LTDEMIAQY
187	C A M R A T G G F K T I F	C A S S L T Q G L N T E A F F	TTDPSFLGRY
277	C A V P G R G Y Q K V T F	C A S S E W G A T E A F F	TTDPSFLGRY
257	C A G Q L G T G N Q F Y F	C A S S L S S P Q E T Q Y F	TTDPSFLGRY
590	C A L T Y S G G Y N K L I F	C A S S V G G S E K N T E A F F	YLQPRTFLL
577	C A L Y N T D K L I F	C A I S G R Q G D T G E L F F	YLQPRTFLL
424	C A R M D S N Y Q L I W	C A S S V K P D S P A E A F F	YLQPRTFLL
127	C A M R S N Y Q L I W	C A S S L S Q G S Q Y F	LTDEMIAQY
407	C A F G D T G R R A L T F	C A S S I S G F D G Y T F	YLQPRTFLL
397	C A V T N S N Y Q L I W	C A S R L G T G E V G E L F F	YLQPRTFLL
159	C A M S T G N N A R L M F	C A S T D G G F G Y T F	TTDPSFLGRY
149	C A A S V G N N A R L M F	C A S S Y M G E G E Q F F	TTDPSFLGRY
560	C A G L N D Y K L S F	C A S T G A D T Q Y F	YLQPRTFLL
261	C V V N P L G S G G Y N K L I F	C A S S S S A E S S Y N E Q F F	TTDPSFLGRY
522	C A T P G G Q K L V F	C A S T L R D R G N Q P Q H F	YLQPRTFLL
300	C A M R E P R S N D Y K L S F	C A S S L T Q G F T E A F F	TTDPSFLGRY
500	C V V N R R D D M R F	C S A H R D Q N T G E L F F	YLQPRTFLL
134	C A V L G V Y N Q G G K L I F	C A S S F P L G G Y G Y T F	TTDPSFLGRY
131	C A V R G G S G T Y K Y I F	C A S S M P N A N T G E L F F	LTDEMIAQY
550	C A A R E G T G N Q F Y F	C A S S L G P E A F F	YLQPRTFLL
58	C A G L N Y G G S Q G N L I F	C A S S P R D R V N T G E L F F	LTDEMIAQY
276	C A V P S Y N T D K L I F	C A S S H D G Y Q P Q H F	TTDPSFLGRY
548	C V V N N A D K L I F	C S A R D S M A Q N T G E L F F	YLQPRTFLL
177	C A M R D A G G G A D G L T F	C A I G T G P M N T E A F F	TTDPSFLGRY
274	C A A V G G Y Q K V T F	C A S S Y R G S S L S S Y E Q Y F	TTDPSFLGRY
194	C A T G G D S G A G S Y Q L T F	C A S S Y S T T G R Y E Q F F	TTDPSFLGRY
481	C A A S G G G G G A D G L T F	C A S S Y G N Q P Q H F	YLQPRTFLL
394	C V V N R Y D G L T F	C S A G E R N T G E L F F	YLQPRTFLL
366	C A T D G G Y K L S F	C A S S F A G T A D Y N S P L H F	TTDPSFLGRY
528	C A A S N S Q E T S G S R L T F	C A S T N W G L R Q P Q H F	YLQPRTFLL
546	C A V S G G G A D G L T F	C A S S V G A G S N Q P Q H F	YLQPRTFLL
338	C A V R S S G G S Y I P T F	C A S S L K V D G Y N E Q F F	TTDPSFLGRY
232	C A A S A G P I G F G N V L H C	C A S S P G Q R S Y N E Q F F	TTDPSFLGRY
268	C G T G L A Y N N D M R F	C A S S R P E G E Q Y F	TTDPSFLGRY
137	C A M R D T G R R A L T F	C A S S L V G G A G E Q Y F	TTDPSFLGRY
331	C A V P F S G G Y N K L I F	C A T S R A G Q G H E Q Y F	TTDPSFLGRY
462	C A A I N D Y K L S F	C A S S G S P G T G D Y G Y T F	YLQPRTFLL
157	C A A G A G T A S K L T F	C A S S S D L G G G T D T Q Y F	TTDPSFLGRY
19	C A A E A A G N K L T F	C A S N F G L P F G N E Q F F	LTDEMIAQY
502	C A A I G A D G L T F	C A I S E S V R N S N Q P Q H F	YLQPRTFLL
553	C A G N Q G G K L I F	C S A R D R S S Y E Q Y F	YLQPRTFLL
447	C A C N A G N M L T F	C A S R T D G L A G Y N E Q F F	YLQPRTFLL
254	C V V S D Q E G A Q K L V F	C A S S L I L M G T S G G E Q F F	TTDPSFLGRY
294	C A V V P T F G G S Y I P T F	C S V E G T E S Y E Q Y F	TTDPSFLGRY
330	C A A S V G V N F N K F Y F	C A S R Y P S G G Y T F	TTDPSFLGRY
198	C A V A P S L G F G N V L H C	C A S T K G G T D T Q Y F	TTDPSFLGRY
334	C I L R G G G G T S Y G K L T F	C A S S D Q G A N Y E Q Y F	TTDPSFLGRY
206	C A A S S G N T G K L I F	C A S W T D S Q G E T Q Y F	TTDPSFLGRY
404	C A V S R S R G G F G N V L H C	C S A R D P W Q V N T G E L F F	YLQPRTFLL
507	C A G G S Q G N L I F	C A S S Y P W D S Q S S Y N E Q F F	YLQPRTFLL
35	C A A N S G Y A L N F	C A S S L A L A G R N Y N E Q F F	LTDEMIAQY
465	C A M R E G N N Y G Q N F V F	C A S Q R G G R E E T Q Y F	YLQPRTFLL
247	C A M R E G S G G F G N V L H C	C S V L T T G P G Q P Q H F	TTDPSFLGRY
508	C V V N R N N D M R F	C A T Q S D P N T G E L F F	YLQPRTFLL
22	C A L S N A G G T S Y G K L T F	C A S S V I Q G A A G E L F F	LTDEMIAQY
518	C A G Q R G K L I F	C S A R I A R I N A Y E Q Y F	YLQPRTFLL
307	C A T G F S G G Y N K L I F	C A S S Q Y R E T S D T Q Y F	TTDPSFLGRY
6	C A A N S G Y A L N F	C A S S L A L A G I R Y N E Q F F	LTDEMIAQY
70	C A L S P P G S R L T F	C A S V D R D W T W G T E A F F	LTDEMIAQY
583	C A V R D S N Y Q L I W	C A S S P G A P G Q G S Y E Q Y F	YLQPRTFLL
139	C A L S A G N Q F Y F	C A S S D R T S Q E T Q Y F	TTDPSFLGRY
278	C A A P P Y S G A G S Y Q L T F	C A I R E R Q F C R Y F	TTDPSFLGRY
88	C A F M R G D G Q K L L F	C A S S L A I G D K V E Q Y F	LTDEMIAQY
562	C V V N R Y D D M R F	C S A L R D K N T G E L F F	YLQPRTFLL
541	C A V R D R G S Q G N L I F	C A S S P D R G G G Y T F	YLQPRTFLL
138	C A S P N Y G N M L T F	C A S K Q G W S N Q P Q H F	TTDPSFLGRY
348	C A L P A Y T D K L I F	C A S R I R G G P G T D T Q Y F	TTDPSFLGRY
584	C V V N K M D D M R F	C S A R T D H N T G E L F F	YLQPRTFLL
523	C V V N N N N D M R F	C A G Q G M N T G E L F F	YLQPRTFLL
41	C A V N V G G G S N Y K L T F	C S V G T G W P Y E Q Y F	LTDEMIAQY
422	C A A S K G T G F Q K L V F	C A S S H P S E G S R K K Y E Q Y F	YLQPRTFLL
552	C V V N N N N D M R F	C A I E D L N T G E L F F	YLQPRTFLL
104	C A T P R S G G S Y I P T F	C A I S E E H T G E Y Q P Q H F	LTDEMIAQY
103	C A H A G G T S Y G K L T F	C A S R S G T G T Y E Q Y F	LTDEMIAQY
111	C A G G H T P L V F	C A S S L T D L Y G Y T F	LTDEMIAQY
359	C A L S E A L G A A G N K L T F	C A S S W T E G A Y E Q Y F	TTDPSFLGRY
558	C A L G G S N D Y K L S F	C A S S L A G G F T G E L F F	YLQPRTFLL
530	C V V N K E N N L F F	C A W G S M N T G E L F F	YLQPRTFLL
263	C A P H R R E A G G S Y I P T F	C A S S V S Y G Y T F	TTDPSFLGRY
133	C A L V P N A R L M F	C A S T D R W A G D T Q Y F	TTDPSFLGRY
475	C G G N R D D K I I F	C A S S P D I E Q Y F	YLQPRTFLL
72	C A V G G G A D G L T F	C A S V N P T G A K N I Q Y F	LTDEMIAQY
336	C A A S A E G N T G K L I F	C A S S D P G A R V W E Q Y F	TTDPSFLGRY
82	C A V R G G Q K L L F	C A R T G Q V K A K N I Q Y F	LTDEMIAQY
343	C A V D I R N S G Y A L N F	C A S S W T Q G A G Y T F	TTDPSFLGRY
242	C A V L G G G G A D G L T F	C A S S V Y E L S L P G A A Q Y F	TTDPSFLGRY
464	C V V N S A D K L I F	C A S S P E I K A F F	YLQPRTFLL
226	C A V P T D S W G K L Q F	C A S S E I I S G N Y G Y T F	TTDPSFLGRY
13	C A V N S G G S N Y K L T F	C S V H Q G W P Y E Q Y F	LTDEMIAQY
545	C A Q D G Q N F V F	C A S S P S P K R G A Y E Q Y F	YLQPRTFLL
230	C A P P D S S Y K L I F	C A S S L Q G V S Y E Q Y F	TTDPSFLGRY
65	C A V R G G S G T Y K Y I F	C A S S P T V S N T G E L F F	LTDEMIAQY
381	C A L N T G N Q F Y F	C A S S I S H S T D T Q Y F	TTDPSFLGRY
128	C A V R G G D M R F	C A S T N R G G I T Y E Q Y F	LTDEMIAQY
270	C A L N N A G N M L T F	C A S E E G Y S N Q P Q H F	TTDPSFLGRY
582	C A P N A G G T S Y G K L T F	C A S S V A Y R G N E Q F F	YLQPRTFLL
298	C A A V G P T G T A S K L T F	C A S S W T S G S Y E Q Y F	TTDPSFLGRY
557	C V V N D G N D M R F	C A S S D L D T G E L F F	YLQPRTFLL
386	C A V R G T G R R A L T F	C S A G G T G I Y G S Y E Q Y F	YLQPRTFLL
