24985	C A T D R A G S A R Q L I F	C A S S L T G E T Q Y F	KLGGALQAK
26537	C A L S E S N S G N T P L V F	C S A W T G T E A F F	GLCTLVAML
34475	C A L S E Y L D T G R R A L T F	C A S S L E L G P D T Q Y F	KLGGALQAK
9820	C A L S G A D S G A G S Y Q L T F	C A S S F S G N T G E L F F	RAKFKQLL
15303	C I V R E I N N D M R F	C A S S P T P T A N Y G Y T F	RAKFKQLL
25750	C A G G G S Q G N L I F	C A S S P V T G G G S G A N V L T F	GILGFVFTL
22358	C A V P Y N Q G G K L I F	C A S S G P G G V D E Q Y F	RAKFKQLL
32359	C A Y S A N A G G T S Y G K L T F	C A S S I G I Y G Y T F	GILGFVFTL
62	C A V G D N F N K F Y F	C A S S F S G N T G E L F F	AVFDRKSDAK
36058	C A V S V G N D Y K L S F	C A S S S P G G E Q F F	GLCTLVAML
5869	C A V G G S Q G N L I F	C A S S I R S S Y E Q Y F	GILGFVFTL
5078	C A V G D N F N K F Y F	C A S S P V T G G G S G A N V L T F	AVFDRKSDAK
23021	C A L I R G G G Q N F V F	C A S S L G T A N Y G Y T F	KLGGALQAK
1	C A A S T D S W G K L Q F	C A S S I R G A Y E Q Y F	GILGFVFTL
35661	C A M T F D A G G F K T I F	C A S S Y S N L E G E E N T I Y F	KLGGALQAK
32610	C A V G G S Q G N L I F	C A S S I R S S L E Q Y F	GILGFVFTL
35971	C A A S L R D D K I I F	C A S S A P R G P G T N E Q F F	KLGGALQAK
28465	C A M P G A N S K L T F	C A S S L N H L S S Y N E Q F F	KLGGALQAK
2235	C A V N T Y S G A G S Y Q L T F	C A S S S Q G V G N T I Y F	ELAGIGILTV
4924	C A V A L W A R L M F	C A S S W G G G S H Y G Y T F	IVTDFSVIK
29776	C A E M E G G S Y I P T F	C A S S A R S S Y E Q Y F	GILGFVFTL
31435	C A G A G G G S Q G N L I F	C A S S M R S S D T Q Y F	GILGFVFTL
35891	C A V H L N A G G T S Y G K L T F	C A S S I W G I S G Q P Q H F	ELAGIGILTV
31943	C V G Y T N A G K S T F	C A S R A G R E A F F	GILGFVFTL
39	C A F M I G A G G T S Y G K L T F	C A S S V P N P R P A K S G A N V L T F	GILGFVFTL
24846	C A V P L T G G G N K L T F	C A S S L N R G D P E A F F	GLCTLVAML
28823	C A V V W G G S R L T F	C A S S Y P E Q G T S N E K L F F	GILGFVFTL
34941	C A M R E D P N F G N E K L T F	C A S S L G Q V G L A G A P N T G E L F F	KLGGALQAK
5522	C A P P S F	C A S S W G Q G S P L H F	ELAGIGILTV
15293	C A S Q P F Q G A Q K L V F	C A S S N L D G T G E L F F	RAKFKQLL
2385	C A V S G E D N D M R F	C A S S P K G G R T N Y G Y T F	IVTDFSVIK
218	C A L S E A P G A N N L F F	C A S S Q E G E S N Y G Y T F	KLGGALQAK
6610	C A M S V N A G G T S Y G K L T F	C A S S I G L Y G Y T F	GILGFVFTL
5540	C A L S D R Y G G A T N K L I F	C A S T P I V G G H H T E A F F	KLGGALQAK
25708	C A V S R M D S S Y K L I F	C A S S P L G G P K D T I Y F	RAKFKQLL
14648	C V V N G G D S S Y K L I F	C A S S E G Q V S P G E L F F	GLCTLVAML
24428	C A T D A S G G S N Y K L T F	C A S S L G T S G G T G E L F F	RAKFKQLL
7673	C A A S E T S Y D K V I F	C A S H P R T P I Y G Y T F	RAKFKQLL
4939	C A E G G G S Q G N L I F	C A S S L A G L A G G E L F F	ELAGIGILTV
34773	C V V S A R G G A D G L T F	C A S S L P L A G G S T D T Q Y F	KLGGALQAK
35357	C V V S E I R V G A T N K L I F	C S A R D L V R G A Y E Q F F	KLGGALQAK
35605	C A L M R G T G G F K T I F	C A S S S A G T R E E T Q Y F	KLGGALQAK
56	C A V S P W G G Y N K L I F	C A S S F S G N T G E L F F	RAKFKQLL
34915	C A G A F D T N A G K S T F	C A I S D Y Y E Q Y F	KLGGALQAK
34935	C A A A G S Q G N L I F	C A I S G Q G E Y T E A F F	KLGGALQAK
35362	C A M R E G D I G N Q F Y F	C S A R D Y L R P L D N E Q F F	KLGGALQAK
23376	C A A S N T G K L I F	C A S S P H F Q V D T G E L F F	RAKFKQLL
6602	C A V N L G G G S Q G N L I F	C A S S H R S S Y E Q Y F	GILGFVFTL
35830	C A E K T S Y D K V I F	C A S S I A G Y T E A F F	KLGGALQAK
24352	C I L R E F Y N D M R F	C A I S E S N K G T P G Y T F	RAKFKQLL
31460	C A P A G D G G S Q G N L I F	C A S S P R S S Q P Q H F	GILGFVFTL
7243	C A M T R S N T G N Q F Y F	C A S S G R H V D T K D T Q Y F	IVTDFSVIK
36120	C A V D G N Q F Y F	C A S S V D E R E Q Y F	KLGGALQAK
27088	C I V R E V G D K L I F	C S V E G P L P A G T L G T Q Y F	RAKFKQLL
16957	C V V T E T S Y D K V I F	C A S S H L G G D R Y M N E Q F F	RAKFKQLL
36181	C V V N P T N R G S T L G R L Y F	C A S S L T G L A G A E Q Y F	KLGGALQAK
5284	C A V E D G G F Q K L V F	C S V L V A R E L L T D T Q Y F	KLGGALQAK
87	C A A T L S D K I I F	C A S S L G T V H Q P Q H F	RAKFKQLL
16937	C A E M E G G S Y I P T F	C A S S Q G S N Q P Q H F	RAKFKQLL
38426	C A V D L M K T S Y D K V I F	C A S S L R D T R N S L H F	IVTDFSVIK
5094	C A V A V G V S G G G A D G L T F	C A S S S G L A G V N E Q F F	GILGFVFTL
15871	C A L N N N A R L M F	C A S S T S T G T G Y G Y T F	RAKFKQLL
33588	C A Y R V G G G S W G K T Q G G S E K L V F	C A S S S S G G A G E L F F	GILGFVFTL
34102	C A V I H N T G N Q F Y F	C A S M G L T L R D T Q Y F	ELAGIGILTV
36106	C A Y R R D D K I I F	C A S S Q G L A A S Y E Q Y F	KLGGALQAK
10	C A A S E Q G G K L I F	C A T S D R T G T G I Q A N Y G Y T F	ELAGIGILTV
7063	C A G G D G G S Q G N L I F	C A S S I R S T G E L F F	GILGFVFTL
35588	C A P L D F D D Y K L S F	C A S S L R L A E I S G A N V L T F	KLGGALQAK
34059	C A V S G G S Y I P T F	C A S S L E E G G A F F	KLGGALQAK
33554	C A G A G S Q G N L I F	C A S S S R S A Y E Q Y F	GILGFVFTL
34394	C A M R E M M T T D S W G K L Q F	C A S S V D D G E Y Y N E Q F F	KLGGALQAK
35083	C A M R E G W R N T D K L I F	C A S R I G N Q P Q H F	KLGGALQAK
36824	C A F T T G K L I F	C A S R T G L A S T D T Q Y F	IVTDFSVIK
32385	C A G G G S Q G N L I F	C A S S I G S Y G Y T F	GILGFVFTL
23214	C A V S D Y I I Q G A Q K L V F	C A S R P G G H E G E K L F F	KLGGALQAK
644	C V V S A N S D G Q K L L F	C A S S V V S G A N V L T F	KLGGALQAK
5527	C A V N A G N D M R F	C A S S Y G Q G W G Y T F	ELAGIGILTV
15407	C A L S E A S G T Y K Y I F	C A S S Q T R G A G N T I Y F	RAKFKQLL
35795	C A L S V W N G N K L V F	C A S K P G G P N T E A F F	KLGGALQAK
32413	C A M R E G S N D M R F	C A S S I K G P F R T E A F F	RAKFKQLL
3038	C A G A T D S W G K L Q F	C A S S W G G G S H Y G Y T F	IVTDFSVIK
23025	C A G G T G T Y K Y I F	C A S S R R L A V Y N E Q F F	KLGGALQAK
182	C I L R D R D D K I I F	C A S S Q E G Q L N Q P Q H F	KLGGALQAK
35881	C I V R D E I K A A G N K L T F	C A S S I V D A G L Y E Q Y F	KLGGALQAK
31932	C A Y M S N A G G T S Y G K L T F	C A S S I R S S Y E Q Y F	GILGFVFTL
12586	C A M K S T N A G K S T F	C A S S F S G N T G E L F F	RAKFKQLL
23245	C A A K E G G S E K L V F	C A S S L S G R P Y E Q Y F	RAKFKQLL
5176	C A M S L S G N T P L V F	C S A R E V S G E K L F F	AVFDRKSDAK
38419	C A V P G G K S T F	C A S S Y G G N Q P Q H F	ELAGIGILTV
27094	C A G R L N S G N T P L V F	C S V E T G L G Y E Q Y F	KLGGALQAK
5189	C L V G D G W E Y G N K L V F	C S A S G Q G L N T G E L F F	KLGGALQAK
34051	C L V G D M E G G S T L G R L Y F	C A S R Y G T P G T E A F F	KLGGALQAK
35367	C A T A A Y N Q G G K L I F	C S A R G K I S G T Y N E Q F F	KLGGALQAK
15307	C V V N R D R D D K I I F	C A S S Q A R D R R Y E Q Y F	KLGGALQAK
33841	C A G N Y G G S Q G N L I F	C A S S V R S S D T Q Y F	GILGFVFTL
5279	C V V R S T G F Q K L V F	C S V G T G D W G E Q Y F	RAKFKQLL
282	C A V N G G E F Y F	C A S S A P G G T S Y N E Q F F	KLGGALQAK
32416	C A E N S G G G S Q G N L I F	C A S S I R A A E T Q Y F	GILGFVFTL
38423	C A V K G I T G G G N K L T F	C A S S Y S T A S E Q Y F	KLGGALQAK
33840	C A E N M G G G S Q G N L I F	C A S S V R S G E T Q Y F	GILGFVFTL
1699	C A V T A G G T S Y G K L T F	C A S S L Y S A T G E L F F	AVFDRKSDAK
34918	C A V T S G T Y K Y I F	C A I S E S L A G G P G T Q Y F	KLGGALQAK
35667	C A A S A D A R L M F	C A S S Y V A G G Q E T Q Y F	KLGGALQAK
29939	C A M S G G G G S Q G N L I F	C A S S G R S T D T Q Y F	GILGFVFTL
18062	C A F M V R G S T L G R L Y F	C A S S F L A G T D T Q Y F	KLGGALQAK
25806	C A A M E T S Y D K V I F	C A S S S G L A G L N E Q F F	RAKFKQLL
5592	C A G T Y G G S Q G N L I F	C A S S G R S S Q P Q H F	GILGFVFTL
118	C A E R A G T A S K L T F	C A S S D P Y N Q T L S Y E Q Y F	AVFDRKSDAK
24353	C A A S E T S Y D K V I F	C A I S G G T S R D T E A F F	RAKFKQLL
36233	C A V D L M K T S Y D K V I F	C A S S A R G A L A G G S Y E Q Y F	IVTDFSVIK
31651	C A A S G T G G F K T I F	C A S S T G Q P Q H F	GILGFVFTL
32341	C A M R E E G M D S N Y Q L I W	C A S S I F S G K P Q H F	GILGFVFTL
35190	C A L S E G Y G G A T N K L I F	C A S T L P R D T E A F F	KLGGALQAK
25090	C A E M E G G S Y I P T F	C A S S S P E G Q P L N T G E L F F	GLCTLVAML
23224	C A V K G I Q G A Q K L V F	C A S S H F P P P Y E Q Y F	KLGGALQAK
6305	C A F M T N A G G T S Y G K L T F	C A S S Q G S Y G Y T F	GILGFVFTL
31373	C A M S G D G G S Q G N L I F	C A S S K R S N Q P Q H F	GILGFVFTL
